questionId,title,titleSlug,isPaidOnly,difficulty,likes,dislikes,categoryTitle,acRate,frontendQuestionId,paidOnly,topicTags,hasSolution,hasVideoSolution,acRateRaw,totalAccepted,totalSubmission,likes ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Two Sum,two-sum,FALSE,Easy,38424,1228,Algorithms,0.491,1,FALSE,Array;Hash Table;,TRUE,TRUE,49.05842893,7923103,16150406,31.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Add Two Numbers,add-two-numbers,FALSE,Medium,21853,4272,Algorithms,0.396,2,FALSE,Linked List;Math;Recursion;,TRUE,FALSE,39.59560789,3148658,7952046,5.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,FALSE,Medium,29133,1240,Algorithms,0.337,3,FALSE,Hash Table;String;Sliding Window;,TRUE,TRUE,33.73441812,3887159,11522853,23.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,FALSE,Hard,19851,2272,Algorithms,0.351,4,FALSE,Array;Binary Search;Divide and Conquer;,FALSE,FALSE,35.05363279,1610978,4595767,8.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Longest Palindromic Substring,longest-palindromic-substring,FALSE,Medium,21814,1256,Algorithms,0.324,5,FALSE,String;Dynamic Programming;,TRUE,FALSE,32.38375163,2122804,6555133,17.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Zigzag Conversion,zigzag-conversion,FALSE,Medium,4423,9764,Algorithms,0.428,6,FALSE,String;,TRUE,FALSE,42.84807054,856198,1998221,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Reverse Integer,reverse-integer,FALSE,Medium,8582,10794,Algorithms,0.271,7,FALSE,Math;,TRUE,FALSE,27.14867491,2281048,8402071,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,String to Integer (atoi),string-to-integer-atoi,FALSE,Medium,2372,6902,Algorithms,0.166,8,FALSE,String;,TRUE,FALSE,16.61727462,1117417,6724422,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Palindrome Number,palindrome-number,FALSE,Easy,7388,2313,Algorithms,0.528,9,FALSE,Math;,TRUE,FALSE,52.78030965,2518344,4771367,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Regular Expression Matching,regular-expression-matching,FALSE,Hard,9330,1473,Algorithms,0.283,10,FALSE,String;Dynamic Programming;Recursion;,TRUE,FALSE,28.25225555,744083,2633709,6.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Container With Most Water,container-with-most-water,FALSE,Medium,20444,1081,Algorithms,0.543,11,FALSE,Array;Two Pointers;Greedy;,TRUE,TRUE,54.28430698,1776571,3272712,18.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Integer to Roman,integer-to-roman,FALSE,Medium,4089,4452,Algorithms,0.604,12,FALSE,Hash Table;Math;String;,TRUE,FALSE,60.38818548,813472,1347078,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Roman to Integer,roman-to-integer,FALSE,Easy,7228,431,Algorithms,0.583,13,FALSE,Hash Table;Math;String;,TRUE,FALSE,58.26714842,2074638,3560569,16.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Longest Common Prefix,longest-common-prefix,FALSE,Easy,10561,3415,Algorithms,0.406,14,FALSE,String;,TRUE,FALSE,40.6125239,1901245,4681430,3.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3Sum,3sum,FALSE,Medium,21631,1993,Algorithms,0.321,15,FALSE,Array;Two Pointers;Sorting;,TRUE,FALSE,32.14152246,2283450,7104366,10.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,3Sum Closest,3sum-closest,FALSE,Medium,7013,378,Algorithms,0.461,16,FALSE,Array;Two Pointers;Sorting;,TRUE,FALSE,46.10844628,890219,1930700,18.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,FALSE,Medium,12733,762,Algorithms,0.554,17,FALSE,Hash Table;String;Backtracking;,TRUE,FALSE,55.39320478,1372539,2477815,16.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4Sum,4sum,FALSE,Medium,7747,897,Algorithms,0.366,18,FALSE,Array;Two Pointers;Sorting;,TRUE,FALSE,36.59977468,655901,1792092,8.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,FALSE,Medium,13254,546,Algorithms,0.398,19,FALSE,Linked List;Two Pointers;,TRUE,TRUE,39.80023718,1718976,4319013,24.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Valid Parentheses,valid-parentheses,FALSE,Easy,15908,796,Algorithms,0.407,20,FALSE,String;Stack;,TRUE,TRUE,40.72718937,2695142,6617564,19.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Merge Two Sorted Lists,merge-two-sorted-lists,FALSE,Easy,15156,1331,Algorithms,0.617,21,FALSE,Linked List;Recursion;,TRUE,TRUE,61.66628888,2660674,4314620,11.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Generate Parentheses,generate-parentheses,FALSE,Medium,15336,586,Algorithms,0.716,22,FALSE,String;Dynamic Programming;Backtracking;,TRUE,FALSE,71.63653314,1218680,1701199,26.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
