questionId,title,titleSlug,isPaidOnly,difficulty,likes,dislikes,categoryTitle,acRate,frontendQuestionId,paidOnly,topicTags,hasSolution,hasVideoSolution,acRateRaw,totalAccepted,totalSubmission,likes ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Two Sum,two-sum,FALSE,Easy,38595,1235,Algorithms,0.491,1,FALSE,Array;Hash Table;,TRUE,TRUE,49.06126783,7958002,16220560,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Palindrome Number,palindrome-number,FALSE,Easy,7441,2317,Algorithms,0.528,9,FALSE,Math;,TRUE,FALSE,52.79254906,2531232,4794686,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Roman to Integer,roman-to-integer,FALSE,Easy,7285,438,Algorithms,0.583,13,FALSE,Hash Table;Math;String;,TRUE,FALSE,58.25494868,2086655,3581944,16.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Longest Common Prefix,longest-common-prefix,FALSE,Easy,10630,3427,Algorithms,0.406,14,FALSE,String;,TRUE,FALSE,40.63661829,1910666,4701844,3.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Valid Parentheses,valid-parentheses,FALSE,Easy,15975,798,Algorithms,0.407,20,FALSE,String;Stack;,TRUE,TRUE,40.72048524,2707895,6649937,20.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Merge Two Sorted Lists,merge-two-sorted-lists,FALSE,Easy,15229,1336,Algorithms,0.617,21,FALSE,Linked List;Recursion;,TRUE,TRUE,61.69090989,2673144,4333134,11.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,FALSE,Easy,8378,12052,Algorithms,0.502,26,FALSE,Array;Two Pointers;,TRUE,FALSE,50.18093177,2474611,4931385,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Remove Element,remove-element,FALSE,Easy,4481,6223,Algorithms,0.52,27,FALSE,Array;Two Pointers;,TRUE,TRUE,51.98007975,1492566,2871419,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Search Insert Position,search-insert-position,FALSE,Easy,9971,476,Algorithms,0.42,35,FALSE,Array;Binary Search;,TRUE,FALSE,41.99396244,1741069,4145997,20.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Length of Last Word,length-of-last-word,FALSE,Easy,1863,120,Algorithms,0.401,58,FALSE,String;,TRUE,FALSE,40.10506296,886502,2210459,15.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Plus One,plus-one,FALSE,Easy,5446,4494,Algorithms,0.433,66,FALSE,Array;Math;,TRUE,FALSE,43.29949543,1400139,3233608,1.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Add Binary,add-binary,FALSE,Easy,5994,636,Algorithms,0.512,67,FALSE,Math;String;Bit Manipulation;Simulation;,TRUE,FALSE,51.23955783,944895,1844071,9.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Sqrt(x),sqrtx,FALSE,Easy,4953,3587,Algorithms,0.37,69,FALSE,Math;Binary Search;,TRUE,FALSE,36.99301297,1224126,3309101,1.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Climbing Stairs,climbing-stairs,FALSE,Easy,14734,439,Algorithms,0.517,70,FALSE,Math;Dynamic Programming;Memoization;,TRUE,FALSE,51.70842788,1908779,3691421,33.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,FALSE,Easy,5964,210,Algorithms,0.498,83,FALSE,Linked List;,TRUE,FALSE,49.79775805,1003743,2015645,28.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Merge Sorted Array,merge-sorted-array,FALSE,Easy,7767,690,Algorithms,0.456,88,FALSE,Array;Two Pointers;Sorting;,TRUE,TRUE,45.60382732,1704162,3736875,11.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,Binary Tree Inorder Traversal,binary-tree-inorder-traversal,FALSE,Easy,9788,464,Algorithms,0.728,94,FALSE,Stack;Tree;Depth-First Search;Binary Tree;,TRUE,FALSE,72.83068931,1756696,2412025,21.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Same Tree,same-tree,FALSE,Easy,7263,154,Algorithms,0.563,100,FALSE,Tree;Depth-First Search;Breadth-First Search;Binary Tree;,TRUE,FALSE,56.25678135,1241769,2207317,47.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,Symmetric Tree,symmetric-tree,FALSE,Easy,11222,254,Algorithms,0.528,101,FALSE,Tree;Depth-First Search;Breadth-First Search;Binary Tree;,TRUE,TRUE,52.77347875,1404188,2660795,44.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,FALSE,Easy,8627,139,Algorithms,0.73,104,FALSE,Tree;Depth-First Search;Breadth-First Search;Binary Tree;,TRUE,FALSE,72.99286512,1967289,2695186,62.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,FALSE,Easy,8293,415,Algorithms,0.688,108,FALSE,Array;Divide and Conquer;Tree;Binary Search Tree;Binary Tree;,TRUE,FALSE,68.8150517,880329,1279267,19.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
